EventID,EventDateDisplayRange,Title,Area,City,State,Zip,Begindate,Enddate,Opendate,Closedate,SearchLevels,DisplayLevels,Result,Lon,Lat,ProvisionalCalendar,EventVenueAddress,EventVenueFacilityName,EventVenueCity,EventVenueState,EventVenueZip,XEntryStatus,EventWebsite,UseaApprovalStatus,FEIOpenDate,FEICloseDate
17579,"FEBRUARY 25-28, 2021",Twin Rivers Winter H.T.,6,Paso Robles,CA,93446,2/25/2021,2/28/2021,1/12/2021,2/9/2021,"Intro,BN,N,T,P,I,A","Intro,BN,N,T,P,I,A",0,-120.692764,35.727787,True,8715 N. River Rd,Twin Rivers Horse Park,Paso Robles,CA,93446,True,http://www.twinrivershorsepark.com,approved,,
17588,"MARCH 12-14, 2021","Copper Meadows Eventing, LLC H.T.",6,Ramona,CA,92065,3/12/2021,3/14/2021,1/26/2021,2/23/2021,"Intro,BN,N,T,P,I,I,A,A","Intro,BN,N,T,P,CT-I,I,CT-A,A",0,-116.904612,33.041472,True,633 Montecito Way,Copper Meadows Horse Park,Ramona,CA,92065,True,http://www.copper-meadows.com/,approved,,
17596,"MARCH 26-28, 2021",Galway Downs International H.T.,6,Temecula,CA,92592,3/26/2021,3/28/2021,2/9/2021,3/9/2021,"BN,N,T,P,I,A,CCI2-S,CCI3-S,CCI4-S","BN,N,T,P,I,A,CCI2-S,CCI3-S,CCI4-S",0,-117.033958,33.487278,True,38801 Los Corralitos Rd,Galway Downs,Temecula,CA,92592,True,http://www.galwaydowns.net,approved,,
17605,"APRIL 8-11, 2021",Twin Rivers Spring International,6,Paso Robles,CA,93446,4/8/2021,4/11/2021,2/23/2021,3/23/2021,"BN,N,T,P,I,A,A,CCI3-S,CCI4-S,CCI2-L,CCI3-L,CCI4-L","BN,N,T,P,I,CT-A,A,CCI3-S,CCI4-S,CCI2-L,CCI3-L,CCI4-L",0,-120.692764,35.727787,True,8715 N. River Rd,Twin Rivers Horse Park,Paso Robles,CA,93446,False,http://www.twinrivershorsepark.com,approved,2/23/2021,3/23/2021
17622,"APRIL 30 - MAY 2, 2021",Fresno County Horse Park H.T.,6,Fresno,CA,93724,4/30/2021,5/2/2021,3/16/2021,4/13/2021,"Intro,BN,N,T,M,P,I","Intro,BN,N,T,M,P,I",0,-119.923032,36.843311,True,7430 N. Weber Ave,Fresno County Horsepark,Fresno,CA,93722,False,http://www.FresnoCountyHorsePark.com,approved,3/16/2021,4/13/2021
17633,"MAY 14-16, 2021",Galway Downs Spring H.T.,6,Temecula,CA,92592,5/14/2021,5/16/2021,3/23/2021,4/20/2021,"Intro,FEH-YEAR,YEH-5,4S,2S,3S,4S,BN,N,T,P,I","FEH-2,FEH-3,FEH-4,FEH-YEAR,Intro,YEH-4,YEH-5,BN,N,T,P,I",0,-117.033958,33.487278,True,38801 Los Corralitos Rd,Galway Downs,Temecula,CA,92592,False,http://www.galwaydowns.net,approved,,
17638,MAY 15,Woodland Stallion Station H.T.,6,Woodland,CA,95695,5/15/2021,5/15/2021,3/30/2021,4/27/2021,"Intro,BN,N,T,P","Intro,BN,N,T,P",0,-121.876749,38.692305,True,34270 County Road 20,Woodland Stallion Station,Woodland ,CA,95695,False,http://woodlandstallion.com/shows/usea-horse-trials/,approved,,
17650,"MAY 28-30, 2021",The Spring Event at Woodside,6,Woodside,CA,94062,5/28/2021,5/30/2021,4/13/2021,5/11/2021,"Intro,BN,N,T,P,I,A","Intro,BN,N,T,P,I,A",0,-122.245483,37.407471,True,3674 Sand Hill Rd.,Woodside Horse Park,Woodside,CA,94062,False,http://woodsideeventing.com/,approved,,
17668,JUNE 12,Woodland Stallion Station H.T. ,6,Woodland,CA,95695,6/12/2021,6/12/2021,4/27/2021,5/25/2021,"Intro,FEH-YEAR,2S,3S,4S,Starter,BN,N,T,P","FEH-2,FEH-3,FEH-4,FEH-YEAR,Intro,Starter,BN,N,T,P",0,-121.876749,38.692305,True,34270 County Road 20,Woodland Stallion Station,Woodland ,CA,95695,False,woodlandstallion.com,approved,,
17673,"JUNE 18-20, 2021",Shepherd Ranch SYVPC H.T. I ,6,Santa Ynez,CA,93460,6/18/2021,6/20/2021,5/4/2021,6/1/2021,"Intro,BN,N,TN,T,PT,P,IP","Intro,BN,N,TN,T,PT,P,IP",0,-120.067222,34.62442,True,1460 Hwy 154,Shepherd Ranch,Santa Ynez,CA,93460,False,http://www.shepherdrancheventing.com,approved,,
