Unnamed: 0,Division,Event,Rider,Horse,Dress Score,Dress Place,Stad Jump,Stad Time,To Date Score,To Date Place,XC Jump,XC Elapsed,XC Time,Final Score,Final Place,Difficulty,Junior,Senior,CT,Rider_x,Fall,Horse_x,Lon,Lat,temp-end,precip-end,wspd-end,visibility-end,cloudcover-end,wgust-end,moonphase-end,Precip_Prior_3_Day,Precip_Prior_5_Day,Precip_Prior_7_Day,Event_Falls,Ride_Count,Fall_Rate,Fall_Rate_Decimal,Fall_Rate_Percent
32814,Open Intermediate,Surefire Horse Trials,Lisa Takada,Wishbone,35.5,3,0,0,35.5,2,0,5:37,4,39.5,1,6,0,0,0,Lisa Takada,0,Wishbone,-77.76337,39.05034000000001,73.1,0.02,10.3,9.9,40.1,20.3,1.0,0.01,0.03,0.03,4,158,0.02531645569620253,0.02531645569620253,2.5316455696202533
33648,Training-A,Apple Knoll Farm H.T.(Sep 2019),Amanda Gardiner,Finn McCool,33.4,4,0,0,33.4,2,0,4:58,0,33.4,1,4,0,0,0,Amanda Gardiner,0,Finn McCool,-70.57221,41.86124,66.5,0.0,7.3,9.9,0.0,,0.7,0.0,0.0,0.27,1,82,0.012195121951219513,0.012195121951219513,1.2195121951219512
33797,Beginner Novice Rider-B,Feather Creek Farm H.T.(Sept 2019),Patti  Otto,Feeling Victorius,30.0,1, , , , , ,0:00, , , ,2,0,0,0,,0,,-97.331,35.23746,52.7,0.0,16.9,9.8,10.8,27.5,0.02,0.04,0.04,0.04,0,2,0.0,0.0,0.0
33821,CCI Two Star Short-A,Plantation Field International,Colleen Loach,FE Golden Eye,25.1,2,2,0,0,25.1,0,5:04,0,25.1,1,5,0,0,0,Colleen Loach,0,FE Golden Eye,-75.78744,39.90874,60.2,0.0,7.7,9.9,2.3,19.7,0.56,0.17,0.18000000000000002,0.39,6,185,0.032432432432432434,0.032432432432432434,3.2432432432432434
34018,Advanced Test A,Blue Ridge Mountain Horse Trials at TIEC(Sep 2019),Doug Payne,Quantum Leap,28.6,3,0,0,28.6,2,0,7:12,12,40.6,1,7,0,0,0,Doug Payne,0,Quantum Leap,-82.0669,35.28265,75.9,0.09,5.1,8.7,61.9,,0.5,0.1,0.23,0.23,5,147,0.034013605442176874,0.034013605442176874,3.4013605442176873
35902,Preliminary,Course Brook Farm Fall Horse Trials,Betsy E. Bodner,Regal Cadence,35.0,2,0,0.8,35.8,2,0,6:16,12.4,48.2,1,5,0,0,0,,0,Regal Cadence,-71.39974000000002,42.25229,64.6,0.12,15.8,9.1,76.4,28.2,0.3,0.14,0.61,0.61,8,118,0.06779661016949153,0.06779661016949153,6.779661016949152
36242,Preliminary/Training,Hunt Club Farms-Eventing For The Cure!,Karen Conk,Flux Capacitor,35.0,1,4,0,39,1,60,5:00,R,R,R,5,0,0,0,Karen Conk,0,,-78.03623,39.19103,72.0,0.0,6.7,9.9,26.5,17.2,0.0,0.42,0.45,0.45,2,65,0.03076923076923077,0.03076923076923077,3.076923076923077
36381,CCI Two Star Short,Chattahoochee Hills H.T. (Aug 2019),Kimberly Steinbuch,PDQ Leigh,28.4,1,1,0,0,32.4,0,5:45,4,32.4,1,5,0,0,0,Kimberly Steinbuch,0,PDQ Leigh,-84.70005,33.63993,76.4,0.0,13.3,9.9,5.5,18.3,1.0,0.42,0.63,0.86,4,99,0.04040404040404041,0.04040404040404041,4.040404040404041
36992,Open Preliminary,Town Hill Farm Horse Trials(Aug 2019),Booli Selmayr,Luxury Don,31.1,3,0,0,31.1,2,0,5:48,1.6,32.7,1,5,0,0,0,Booli Selmayr,0,Luxury Don,-73.43115999999998,41.93681,66.5,0.02,9.3,9.8,19.9,19.7,0.72,1.09,1.58,2.44,6,152,0.039473684210526314,0.039473684210526314,3.9473684210526314
37164,Preliminary-A,Full Gallop Farm August HT(Aug 2019),Lauren Turner,Fairway King,29.1,2,0,0,29.1,2,0,4:59,1.6,30.7,1,5,0,0,0,Lauren Turner,0,Fairway King,-81.58405,33.57045,79.9,0.27,12.1,8.9,48.9,,0.51,2.8,2.8,3.14,0,103,0.0,0.0,0.0
